No.;Time;Comment;Scramble;Date;P.1
205;1:12.93;;Uw' F' R2 L D' Uw2 Fw' Uw B' F' Rw' Fw B2 D' R' L2 D' F2 B' Fw' Uw' B2 Fw U2 Uw' F' R F' Fw L2 Uw2 U' F2 R2 Fw B' Rw U Fw2 Rw';2025-07-30 19:07:33;1:12.93
206;1:28.43;;D' Rw2 L2 R2 D B2 R Fw D2 U2 L' D F Fw2 R' Fw' U D' Uw' R' D L' F2 D' U2 Uw Rw Fw2 L' Fw2 F L Rw2 Uw2 Rw2 R2 Uw' B2 U D';2025-07-30 19:09:24;1:28.43
207;1:31.81;;Uw' U F' Fw2 B2 U Fw Rw' R2 U B2 U R2 Rw2 L' Uw Fw' Uw Rw U R D2 L2 D Rw' Fw2 Uw' Fw2 Rw2 L F' Fw2 B L2 B2 U Rw2 D2 Fw' D';2025-07-30 19:11:12;1:31.81
208;1:25.87;;Uw L D B' U' B' Fw' R L2 F Uw R' Fw' B' Rw2 L' Uw F Fw2 R' Fw' Rw' Uw' F Rw2 U D2 Fw Uw' R2 Rw2 Fw2 D' U2 R2 D' Uw2 B F U;2025-07-30 19:13:18;1:25.87
209;1:40.11;;U B2 D2 R2 B' U Fw' F' B L Fw R2 U D' Fw2 F D' Fw2 R' L' Uw U' L' B' L' Uw2 U D2 L R' D R2 B2 R' F' R L2 Rw2 B Uw';2025-07-30 19:15:23;1:40.11
210;1:29.35;;F Rw' U' Uw L' F2 Fw R2 Uw Fw R U Fw Uw Fw U Uw R' Uw2 R' D L' D' U' Rw2 F2 L2 R' Rw2 B R2 F' U2 F' L' R Rw' Fw Uw' U2;2025-07-30 19:17:47;1:29.35
211;1:37.68;;Rw2 Fw D2 B2 F2 Rw' Uw Rw D2 R' Fw' Uw2 L Rw B2 F Fw D F2 Uw2 Fw Rw2 B D' Fw2 Rw2 F2 D F Uw2 L D2 U Uw L' U' Fw' L Uw2 Fw2;2025-07-30 19:19:45;1:37.68
212;1:42.43;;L' Rw' D' R' D L R B L2 Fw2 Uw' B' D L R D' Rw2 Fw' L' B R D2 F2 R Fw R' Fw' D Rw F U' Uw' R2 Rw D' B2 R B2 Fw Rw;2025-07-30 19:21:44;1:42.43
213;1:32.53;;Uw B2 Fw Rw2 L' B D2 F2 B Rw2 D R' Rw' D' F R2 D' U2 Rw D' Rw Uw2 Rw F R Rw D' Fw2 F R D2 R F2 B' Fw2 U' D2 Fw2 Rw' D2;2025-07-31 16:34:22;1:32.53
214;1:09.62;;B' D L U' Rw' B' F Fw2 L2 R2 F B' R2 L Uw2 Fw' U R2 F L B Uw Rw' R' Fw2 R2 F D2 Uw2 Rw D2 B' Fw2 D F B2 U F' L' Rw;2025-07-31 16:36:28;1:09.62
215;1:23.88;;U2 L2 F' U Rw2 L' R D2 Uw' F2 R' L' Rw' Uw Rw2 Uw2 B U L' B Fw' D' R2 Rw' Fw2 B Uw2 L2 R F' Uw2 B2 Rw2 Fw2 R D2 Fw2 Uw' U F;2025-07-31 16:38:12;1:23.88
216;1:30.72;;Uw' Rw' D2 Uw R' Rw2 Fw2 D2 U Uw L2 U2 Fw2 F Rw Fw L2 F L2 Fw U2 D Rw' L R U' Rw D L' Fw' Rw' L' F2 Fw' D2 B' R' B' U2 D2;2025-07-31 16:40:07;1:30.72
217;1:46.35;;Rw2 U2 Rw' R' U2 R B' D2 Rw2 F2 D' Fw' L Rw D2 R Uw Fw' D L R2 D' R' Fw2 Rw2 Fw' Uw Rw F L2 B2 L2 U' B' Uw2 D2 L2 Fw L Uw2;2025-07-31 23:37:30;1:46.35
218;1:50.41;;Uw2 B2 Uw' D' R Fw' Uw B U2 Rw B' R' U2 R B' R2 L' B U R2 D2 U R2 B' R U2 Uw2 D' Fw' B2 F' D' R Rw2 D2 U' Rw D' Fw F';2025-07-31 23:39:56;1:50.41
219;1:38.62;;B2 U2 R' Fw' F' R' Rw2 Fw' B D2 U R2 B2 L' U' F2 Rw2 L Uw2 B U Fw U2 Uw' Fw2 D U2 Fw F2 Rw U Fw' B2 Rw R L2 Fw' D2 F Rw;2025-07-31 23:42:08;1:38.62
220;1:28.00;;Fw' B2 L' Rw' R D Uw' L U R2 D Uw2 Rw2 L2 U2 Uw' R' B2 U Uw B U B R' L' U2 D2 F' B2 Fw' R2 Fw2 F2 Rw' R F2 D' L2 Rw' Uw';2025-08-23 10:49:23;1:28.00
221;DNF(1:34.22);;F Fw' B' D' Rw' B Rw' U2 D' Fw R' D' Uw R L U Fw2 Uw2 Rw R' L Uw' U' D' Fw D B' L F' U' L R2 B' L' U2 F2 Fw' Rw Uw Rw;2025-08-23 10:51:42;1:34.22
222;1:38.51;;F' Rw2 F2 Rw2 F Fw U D2 R' F' D' B' Fw Uw R Fw' Rw Fw2 L2 Uw' D2 F U2 R' Rw2 B2 L2 F Fw2 Rw R Uw2 F' Uw2 D' F Rw2 D2 U' F';2025-08-23 10:54:28;1:38.51
223;1:41.39;;R2 L' D2 U' B' Uw' F R' U2 Rw2 U B2 Fw' F' Uw L Rw2 B2 R2 Rw' U2 R2 B R2 Rw2 F' L Rw' F2 Rw U' B' R' B' Fw2 F D L2 Fw L;2025-08-23 10:57:05;1:41.39
224;1:14.65;;L2 R2 Fw2 U2 F' R B' Fw2 F' D Uw2 B F2 Fw2 Uw2 L Fw B' F D Uw' B2 U R B2 D' B' D L D2 Fw' R U' Uw R' Fw' Rw Uw' L2 D2;2025-08-23 10:59:13;1:14.65
225;1:25.61;;U' F B' U R' U2 L R' F2 B2 U B2 L' B2 Uw2 F' D2 Rw2 R2 D2 L' F' L2 Rw B Uw2 R' D Rw U' R2 L Rw' D U2 B R2 Rw D2 L;2025-08-23 11:02:38;1:25.61
226;1:13.45;;Fw2 L' Fw R2 L' F B' Fw2 Uw2 B2 D2 B U Rw' U2 L2 F' R2 U2 R' F L Uw2 D2 U' L Fw2 D Fw' R2 U Uw' B' Uw U' Fw' R Rw' F R';2025-08-23 11:04:55;1:13.45
227;1:32.03;;Uw2 R Uw' D' L2 U2 B2 Rw2 B2 R2 F2 Rw' F U2 B' L R U' B' R' F' B2 R F' R2 D' F Fw L' Rw' U' B' R' Uw2 B' L' Uw2 L Rw2 F';2025-08-23 11:06:39;1:32.03
228;1:28.36;;U' Fw D Rw L U Rw' Uw' F' R2 D2 L2 Rw2 R F R2 Rw2 F L2 R D R2 U' Rw' Fw U' D Uw' F Rw U2 F B' D' Fw' B2 D U2 Rw2 Fw';2025-08-23 11:08:36;1:28.36
229;DNF(2:01.82);;Rw' F B' Rw2 Fw' B' D2 U Uw2 R2 Fw2 L' B Rw F' U2 Uw R' F Fw Rw F Fw' L' Rw Uw' Rw2 F U2 L' B' Fw2 Uw2 Fw F D F' R' F2 Rw;2025-08-23 11:14:23;2:01.82
230;1:22.46;;R' L U2 Fw U Rw2 B2 R' L Uw' F' U2 R F' R Fw2 Uw' F L2 D2 U R D2 L F' R' L Uw' U' Rw' D2 U2 Rw2 Fw2 R2 B' R Rw2 L2 Fw;2025-08-23 11:17:08;1:22.46
231;1:19.77;;R2 D R' Fw2 F2 Uw' D' Fw' F2 Rw2 L R2 B' U L' B' Fw D' R' Fw L Uw' Rw' Fw U' B2 Rw' Uw' D2 Rw' F2 D' B' L' B2 L R' Fw' B' L2;2025-08-23 11:19:01;1:19.77
232;1:35.00;;L Fw' Uw2 D2 L2 D' R D R L' Rw U2 Rw F' Uw2 Fw D2 L Uw2 Rw2 Fw' R' Fw R2 F2 L' R' Uw2 F2 Fw2 R' Fw2 L2 B Fw2 Rw Uw2 D2 R' B;2025-08-23 11:52:53;1:35.00
233;DNF(1.13);;B Uw2 Rw' D2 B2 R' D2 U L2 Uw2 L B R2 U2 F D2 Uw B' D' Uw' B Uw D' R2 U2 R L2 F R D' L D Uw2 R B L R' D' U2 R;2025-08-23 11:57:34;1.13
234;1:27.94;;F' R' Uw' Rw2 F2 R' U' L2 R' B2 Fw Uw2 R D Rw U Uw Fw2 R' F2 Fw Rw2 R' Uw' B' F' Rw2 F' R2 F' Uw Fw' R2 Rw' Uw B' Rw2 L2 Fw F;2025-11-07 17:31:18;1:27.94
235;2:12.36;;Uw Rw B' F2 L' Rw2 B Uw' L U' F D' Uw2 B' R2 U' D' R' D' B' Uw' D L Rw U2 D F2 Rw' F' B' U' Fw' U' Rw B2 Rw Fw2 D' Fw Rw';2025-11-07 17:33:12;2:12.36
236;1:20.46;;R' B U2 Uw B U2 Rw2 L2 R D Rw' Uw R2 B' D2 B2 Fw' F R2 F Fw' Rw2 B' Fw R' Rw B2 Uw2 U B R Rw' L D' R Uw2 U D L2 B;2025-11-07 17:36:16;1:20.46
237;1:34.80;;L D2 U2 F' B2 R B2 Fw' Rw' Uw2 R' D2 L Rw B R2 U Uw' Rw' Uw2 Fw' Uw L' Uw2 F U2 Fw' Uw2 B' L' Uw' B F' D F U' F2 Fw2 Uw Fw';2025-11-10 23:06:57;1:34.80
238;1:13.64;;F U2 R' Uw D' U Fw B' Rw U L2 F2 Fw' B' Rw Fw B' Rw2 R Uw L2 Fw2 B F' R2 L2 D2 L2 B' R' F' L' Rw R D' Fw' L' U F R';2025-11-10 23:09:25;1:13.64
239;1:14.24;;Uw Rw U' Fw2 Uw2 B D2 Fw2 Uw2 Rw F Fw' Rw R2 L' Uw2 R2 D2 R2 B U2 Rw Fw2 U2 L2 Uw Rw R U' L' F Fw2 B2 Uw2 B2 U' L2 R D Fw;2025-11-15 08:37:25;1:14.24
240;DNF(1:49.50);;F Fw2 D R' Rw F Rw L Uw2 Fw D2 U' B F2 L2 F Fw' B Rw R2 U' Fw B' Rw2 R Uw D R Fw' Uw R U' B' L2 U' Uw2 Fw2 F2 R2 L';2025-11-15 08:39:38;1:49.50
241;1:31.94;;U Uw B' U2 D2 Fw2 D B2 D' F Rw D F' D2 U Uw2 L D2 U R' Fw2 R' D Uw U2 R2 Uw' R Fw' F' U Uw' L2 F2 D L' D' Rw' B R2;2025-11-15 08:41:55;1:31.94
242;1:29.71;;B L D Uw Fw2 U Uw F' Fw Uw' F R' F2 Rw' R2 L2 D' F' L' B2 D Uw2 L2 R Uw' R' F2 D' Fw F' Rw R' L' Uw L2 Fw2 B U R2 Fw2;2025-11-15 08:44:07;1:29.71
243;1:27.23;;L' D R' F D' Uw Fw2 R' Uw B2 U L F Fw2 R' L' Uw Rw' F Uw U2 R2 F U' F Fw2 L2 F L2 R2 B2 R2 U2 Uw' L R D B U2 L2;2025-11-15 11:49:24;1:27.23
244;1:12.89;;B U Fw F D2 Fw2 Rw2 R' U Rw' B2 Rw R' B2 Fw F' U2 F2 Fw D' U2 Fw2 Uw2 Rw2 U2 F2 Uw' Fw' F' R Uw' R' L D' F2 Fw2 U Rw Fw B2;2025-11-15 11:51:30;1:12.89
245;1:34.32;;Uw2 U' L D' U2 Rw2 Fw2 B' D2 Uw U L2 U2 R B2 L R2 Uw' U F2 B' R2 Uw D' Rw' B' L' F Uw Fw' D2 B2 Fw' L D' B2 Fw R D' U;2025-11-15 11:55:42;1:34.32
246;1:58.07;;B Rw' R D' R' L' Fw B' L R2 Rw2 Fw B2 R' U' B2 D' L' U' R U2 Rw2 F' D F U2 L2 Rw U Rw' D2 F2 D' B' D R' U' Uw2 L' B2;2025-11-15 12:04:14;1:58.07
247;1:25.67;;Fw R' D2 R' Uw' Fw2 U2 Fw2 D' Uw2 U' B2 Fw L2 R Fw' D' Rw R' F2 Fw2 L2 Rw2 U Fw U' Uw' Fw Rw' U B2 Fw2 Uw2 R B2 D' L B Uw2 U2;2025-11-15 12:06:52;1:25.67
248;1:29.95;;L R Fw2 U Uw R D2 U' Fw2 B F2 D2 Fw' B F' D' Uw R Rw' U' Rw Fw2 B R' Uw F U2 B' R F Fw2 D R2 Uw2 Rw' B U2 B' D2 F;2025-11-15 12:10:30;1:29.95
249;1:24.38;;R Uw' Rw B Fw D' Uw U2 L' Uw2 D B' Rw U2 Uw Rw F' L' D2 Uw L' Uw2 Rw Fw' Uw' B' Uw R' B L' D Fw2 Uw' Fw U B L F' Fw2 D;2025-11-15 12:14:19;1:24.38
250;1:18.57;;D Fw2 L' Fw' L Uw B' F2 U Fw2 B2 F' Uw L' F2 B Uw' L R Fw' Uw2 U2 Fw2 R' Rw2 D' Fw L Fw L F2 L' R B Uw' Fw' F2 R' B' Rw;2025-11-15 12:16:19;1:18.57
251;DNF(1:30.98);;B D' R2 F Rw' R L F U' Fw2 L Uw' L2 Rw' Fw D B' D2 R D Uw L B2 R' Uw2 U' B' L Uw2 U2 R2 F2 Fw D2 R' Uw Rw2 R F2 Fw;2025-11-15 12:27:41;1:30.98
252;1:18.74;;Fw U' Fw Uw2 B2 Rw Fw' L2 U' B L2 D' Uw2 B Rw' B Rw F2 Uw2 Rw' B' Rw' U' L2 U Rw' F' D' L' U' L R Fw2 F U2 D' F' Uw' Rw2 U';2025-11-15 12:29:38;1:18.74
253;1:20.39;;Fw R F2 U' R L2 Rw Fw' B Uw U' Fw2 L Rw2 F Uw D2 F2 Uw Rw2 Uw B' D2 U' Uw B' L F2 Fw2 Rw2 L Fw B' L Fw' Uw' U F L2 D2;2025-11-15 12:31:36;1:20.39
254;1:50.73;;B' Rw Fw2 L2 R Rw' U2 Fw U' Rw2 Uw2 U' F2 U' Uw F' Fw Uw' B U' B Fw D2 L B R' Rw D Rw2 B' Rw B L' U2 D' R B' D' R' F2;2025-11-15 12:33:34;1:50.73
255;DNF(47.09);;Uw2 Fw F2 R U L Rw U2 L2 R Fw D U Uw' F' R L' F2 Rw2 R2 F2 Uw' R2 F' Rw' U' Rw' F2 Rw L' Uw2 U Rw' F2 B' U D' B' Fw F2;2025-11-21 20:59:16;47.09
256;1:29.92;;F' Uw2 D L2 Rw' Fw' R Rw2 B' Uw2 R' Fw R Fw Rw' F Rw2 B2 Fw R2 Uw2 U2 Fw F B' L2 Uw2 Fw2 Rw' Uw L' Rw' Uw Fw' Uw F U Uw' R Rw2;2025-11-21 21:00:34;1:29.92
257;1:13.40;;Fw' F' U Fw' U2 D' Fw2 Rw F' R2 F' U Fw L2 Rw2 Fw L D2 B' D' Rw2 F R L2 F Uw' D' Rw' Fw2 B' Uw2 L2 Fw' D F' D2 F2 D F Uw;2025-11-21 21:02:56;1:13.40
258;1:37.74;;U' F Fw2 R2 L2 Uw2 R' F U L' Fw B' Uw Rw' Uw U R Fw' U2 Rw2 L D2 U2 Uw2 Rw' D Rw Fw U D' B' Rw D' U2 R Fw' Uw2 D' R F;2025-11-21 21:05:05;1:37.74
259;1:03.48;;Rw2 Fw R' F2 B L2 Rw2 F' U' Uw2 L B D' U F2 Uw U' F' Rw2 Uw' U2 Fw D U' Fw' R Uw Fw Uw U R2 D2 F' Rw' L Fw' B2 R Fw U;2025-12-18 21:34:44;1:03.48
260;1:32.15;;R2 Fw Uw R' D' Uw' F U R' F U2 L U' L2 D' Rw' L2 D F U Fw2 Uw Fw2 B' L2 Fw' U F Uw2 F Rw2 B2 U Fw L' U Fw' B R Rw;2025-12-18 21:36:14;1:32.15
261;DNF(1:13.18);;R2 Rw Fw' D' F2 R B' D2 Uw2 F L2 Uw F' U' Fw' L Uw2 Rw' Fw' B' D' Fw2 R' Fw2 Rw' Uw' R2 F' U Fw2 Rw' L2 Uw L Rw' R D' Fw D Rw;2025-12-18 21:38:22;1:13.18
262;DNF(1:34.31);;Uw D Fw2 L' Uw D' Rw B D2 U' Uw' R2 Fw2 Uw2 L2 Uw Rw2 L2 F2 U' Uw2 L2 Uw2 Rw2 Fw L R D2 L R' Fw' U Uw2 Fw R B D' F2 D Fw';2026-01-04 10:28:29;1:34.31
263;1:37.03;;Rw' Fw Uw' Fw R2 Uw' U2 B2 L' D' Uw' R2 D B2 D' F2 B' Fw2 L' D2 Uw' B2 Uw2 R' D B' F' Rw' Uw' Rw' D' Fw' F' U Fw2 U2 Rw' R2 Fw' U';2026-01-04 10:42:36;1:37.03
264;1:43.39;;Rw' Fw2 D Rw Uw' Rw2 L' R' Uw' Rw R2 Fw U F Fw2 L2 R' Uw' Fw' R Uw Fw Uw Rw Fw L Rw2 Uw L' Uw2 Fw' B' L' Fw2 L' Uw L Fw2 D Uw';2026-01-04 10:45:17;1:43.39
265;1:19.25;;Rw' D F R' U2 Uw2 R' D2 L' U Uw2 R2 Rw Fw' B F' U2 Fw2 L B2 Rw Fw R U' D' B' Uw' Fw' B L2 Fw2 Uw' B2 Fw2 F Rw F2 Fw2 L' Fw;2026-01-04 10:49:29;1:19.25
266;1:13.97;;B' Fw2 Uw' Fw' Uw2 Rw' F2 B Fw2 Rw2 Uw2 F D Uw2 F R' Fw2 L Rw U' B D R' B' L' F' U2 Rw' F' L F2 R' B F Uw2 Rw2 Uw2 D' Fw' F2;2026-01-04 10:51:37;1:13.97
267;1:22.95;;R' Rw2 F' Rw B2 Fw R Uw' Rw' B' R2 U2 Rw2 U' L2 Uw2 R Rw2 L' B' U' F U2 L2 D2 R' L2 U2 L2 F' R' B U Fw2 B R' Uw U2 Fw F';2026-01-04 10:54:34;1:22.95
268;1:41.53;;D2 Fw' F U2 F2 U2 Fw R2 Fw2 B' R B2 Uw' Fw F R Rw' Fw2 U' Uw2 Rw2 R L Uw2 U F2 Fw' L F Fw D Rw B D2 Fw' L2 Rw' Fw2 B2 Rw2;2026-01-04 11:54:02;1:41.53
269;1:19.80;;Uw B' Uw2 Fw2 Uw' F2 R U2 B' R' Fw2 Uw F2 U' B U R F2 U Rw2 B' U' L B' Uw2 Fw' D2 Uw R L' Fw Uw2 F2 B L2 U B' Uw D2 Rw2;2026-01-04 11:56:19;1:19.80
270;1:33.49;;D' R D Fw L2 Rw' F' Uw D F' Fw2 Uw Rw U2 L F' Rw2 D' U2 R' D' Fw2 F' R2 Rw' Uw F' Rw Uw2 Rw2 L' Uw U' Fw L' B2 Fw' D2 R' B;2026-01-04 11:58:17;1:33.49
271;1:18.66;;R U2 B Uw L D' U2 Uw F2 R Uw2 R' F2 Uw2 Fw' Uw' L R B Fw L' B2 L2 U2 B' F2 R2 U2 Uw' Fw' Rw' F' D' B Uw' U2 B' Uw' F2 Fw';2026-01-04 12:00:30;1:18.66
272;1:54.01;;Uw2 Rw L R2 F' Uw' B' Rw B' L2 F2 Uw L' Rw Uw R2 F Rw' F' Uw2 D' L' Rw' R' D U2 Uw Fw Rw' R2 L2 B F2 D U' Rw F Rw Uw2 Fw';2026-01-04 12:02:33;1:54.01
273;DNF(1:03.81);;U2 Fw' Uw' R2 F U Uw' Fw' Rw R2 F B2 Fw2 L F Uw R Rw B2 L' B' Uw' F' D' Uw2 U F' D2 B2 Rw' D' F2 B' Fw2 Rw2 B' Fw2 D B2 Uw2;2026-01-11 12:36:32;1:03.81
274;1:14.77;;Fw2 F D Rw2 R2 D' F2 Fw Uw2 F' U' R2 F2 D2 B2 Uw' L2 R2 Uw F' B2 Fw L' Rw' Fw' F Rw Fw' R' L2 F2 Uw' Rw' Fw' U Uw2 B2 Rw Uw R';2026-01-11 12:38:17;1:14.77
275;1:16.21;;U B U2 Fw U R' Uw2 Fw2 D R L' F Rw' L2 R2 Fw Rw' B F' Fw' U B2 D2 Uw2 B2 R2 L D2 Rw2 L' D' U' L2 Uw' F2 D R' D Rw B;2026-01-11 12:40:14;1:16.21
276;1:29.74;;R' Uw2 D Fw L' D' B' Uw Rw' R' U' Rw F L Rw B' D' L2 D Rw2 B2 Rw2 Fw2 L Fw2 F2 B' U2 Rw' U' Rw' R' U2 Rw2 Fw2 D2 Rw' R2 F Rw;2026-01-11 12:42:09;1:29.74
277;1:24.71;;L2 Rw2 B Rw Fw2 B Rw2 D' U F' Fw Uw D2 Fw2 Uw' Fw U Fw Rw' R' B Fw Rw2 D Rw' U B2 Fw F' L D' U R Uw U' R' F' U' Fw' F;2026-01-11 12:44:19;1:24.71
278;DNF(1:35.50);;U2 Rw' R2 Uw2 B U2 R' Fw2 L2 F2 Fw' U2 B R' Rw2 Uw' Fw U' Rw B' L2 Fw' Uw2 L2 F' Rw' Fw L2 F L2 R2 U Rw2 F' R' U D' L' U2 R2;2026-01-11 12:47:54;1:35.50
279;DNF(1:10.41);;F' D R F' Fw2 B L Fw L2 B U D2 Rw' L2 F2 Fw2 L2 Fw R' Fw L2 Rw Fw Rw' R2 D' Fw2 B R F2 Uw2 D U R Uw' U2 F2 U' Uw2 Rw;2026-01-11 12:51:47;1:10.41
280;DNF(1:37.60);;F' Rw D' L2 B2 Fw2 R2 Fw2 F B' D R2 D' F' L2 Rw R2 F L2 R' Rw D' F' Uw2 Fw F2 Uw2 L2 F L' F U2 Uw' R' B' Uw F' Rw D' R';2026-01-11 12:58:09;1:37.60
281;1:28.50;;Uw Rw' R2 L F' Uw' Fw Uw2 U2 D R' L2 Uw R F' R' B D' Rw F' Fw Uw D' L2 Rw2 Uw' D B2 F' L' Uw2 B' Rw' R' Fw U' Fw D' U2 F2;2026-01-11 15:23:43;1:28.50
282;1:10.53;;L Fw' Uw L' F' Uw' Fw' R' Uw Rw2 D R D2 Fw2 R Uw L R' D Fw' D' R2 Uw2 U' F U L2 R D Uw' Fw2 L2 B2 F Rw D2 R' L2 F' L;2026-01-11 15:25:54;1:10.53
283;1:24.68;;L B Rw' L2 F2 L2 Rw2 B2 F L2 Fw D2 F D' F' D2 Rw2 Uw Rw2 R' L' Fw B2 D B2 Uw B2 U R' L2 Rw D2 F2 D Uw' B' Fw2 F D Fw';2026-01-11 15:31:44;1:24.68
284;DNF(1:16.66);;U2 B2 L F2 D' L2 B2 Fw' F2 D F D' Fw2 Uw U B F' Fw' Rw F2 Fw R2 Uw2 Rw' L2 D' F U2 D' L' Rw' B Uw' B' D' F' L2 B Rw2 F;2026-01-11 15:34:11;1:16.66
285;1:13.81;;L F' L' B2 R2 D' Rw2 Uw U Fw2 D' U' L' Fw' Rw' Fw' D2 Rw2 U2 B Rw' D2 R B D2 U2 R' L' Uw U D' Fw' U F' Uw U2 R2 Fw2 Rw2 D2;2026-01-11 15:36:07;1:13.81
286;1:00.32;;Fw' Uw' D U2 Rw2 D Uw Rw' L2 R2 F' Uw U' Fw' F' B' Uw L2 B2 U Fw F R' L Uw Rw L Fw2 Rw U' D L' U2 Fw' Uw' Rw' Uw' L2 U' R;2026-01-11 15:38:03;1:00.32
287;1:33.83;;D U R' Rw Fw2 Uw2 Fw Rw' L2 Uw2 B2 Uw L' B' Fw F R2 Uw' D Rw F Rw2 R Uw Rw' F' L2 D' Fw2 Rw L' R D' U Uw B' D2 L F U;2026-01-11 15:39:44;1:33.83
288;DNF(1:13.31);;Fw2 L' B' R2 L Rw' D B' U Fw L B2 F' Uw2 Rw L2 D' Fw2 F D' U2 Uw Fw2 R F2 U Uw Rw2 R' B L R2 Rw F2 B Uw2 D' Fw2 D' Uw';2026-01-11 15:41:58;1:13.31
289;1:27.47;;L' R U D2 Fw2 R2 Uw2 Fw D' Uw Rw2 Uw' F' L2 B L2 Fw Rw' B Uw' B2 U Rw' U2 Uw' R B2 F L2 R2 Rw' Fw L' Rw' D' R Uw2 Rw2 D2 B2;2026-01-11 15:43:51;1:27.47
290;1:07.99;;F R' F2 D2 B R' L2 U B2 L Uw L' F2 Rw' L R2 Fw' R2 L2 Rw2 B Rw2 D R2 B' Uw2 U2 L F2 Uw' F B L' Uw2 U Rw Fw' R' U2 F';2026-01-11 15:45:58;1:07.99
291;1:12.09;;B Rw' L' Fw2 L' B Fw' Rw2 R' B' U D' Rw F' R' L2 Fw2 U Rw' Fw2 Uw' U2 B2 D2 Fw2 D U2 L D2 Rw' F2 U B2 L' R' D2 L U Rw F2;2026-01-11 15:47:47;1:12.09
292;1:15.05;;Rw B Rw2 Uw R B2 F' Rw F D R2 Fw R2 D Fw D R' Rw Uw' R' Uw' Rw' Uw B' U F U' Rw2 D B Fw R2 Fw' B2 F' Rw R' B L Fw2;2026-01-11 15:49:54;1:15.05
293;DNF(58.38);;U2 Rw2 R2 U2 Rw' R B' U2 Uw2 F Uw' D F2 U2 Rw2 Fw D' B2 R Rw' F D2 F' L F2 L' Rw2 F' U2 B2 F' U2 Rw2 Fw Uw Fw R' Rw Fw' F;2026-01-11 15:51:58;58.38
294;DNF(1:19.12);;F' Rw' Fw' F2 L B D' U2 L2 R' Uw2 L' B' D Fw U2 L U Uw' Fw' B D Fw2 B' Uw2 Rw2 Fw2 F2 Uw' B2 R' U R' Rw' B F L' R2 B' U';2026-01-11 15:53:45;1:19.12
295;1:12.36;;Uw U2 Fw2 B' F2 Rw2 B D' R2 D2 L Fw2 L' B2 F' D' U' F R F2 Fw U2 Uw2 D' Rw' U' R2 B' Fw R U2 F Rw F Fw2 Uw' F2 U2 L2 U;2026-01-11 20:38:53;1:12.36
296;1:26.76;;B' F2 Fw R Uw2 Fw' R2 Uw2 B' Uw2 L2 F' B Uw Fw2 Rw' Uw' R2 D2 Fw B R Rw' F R' F L' F R2 D F' Uw' F' L2 Rw' R2 B Uw U' R';2026-01-11 20:40:54;1:26.76
297;1:52.54;;F Uw' R Fw' F U' R' L' Rw2 Fw2 U2 F' Rw' Uw2 D2 U' Rw' F' Rw2 L' F L2 Fw L' R' D' L2 B' R2 F' Fw R U Uw2 B2 U2 Fw Uw' L B;2026-01-11 20:44:23;1:52.54
298;DNF(1:16.32);;Rw Fw2 Uw Fw' L Rw Fw' L2 F2 L D2 Uw F' Fw R Rw Uw' Fw2 U' Rw R Uw' F2 B2 R2 Fw U F2 L' Uw D2 Fw R2 U B F U' Uw F' Rw2;2026-01-11 20:51:51;1:16.32
299;1:06.79;;L2 Uw2 F Rw F2 Rw' R' Uw2 F Fw' B R2 Fw Rw' R' Fw' F' R2 Rw' U2 Rw' U2 B Uw' L' Uw U2 B2 Rw' F D' L' U' Uw B2 F2 Rw Fw2 L Fw2;2026-01-11 20:53:41;1:06.79
300;1:19.63;;R' F' B2 R2 L2 U2 F' Rw D' L2 Rw' B' L' D2 F R2 B2 F2 L2 Uw R2 U Uw2 F' Uw Fw' L2 U2 D Rw D' Rw B D2 Rw' R' D' U' Rw' Fw';2026-01-11 20:55:22;1:19.63
301;1:32.62;;Fw' D F U2 Fw2 L2 Rw F' Fw Uw B2 D R F2 D2 Uw2 R2 D Uw Rw2 Fw R' Uw' L' U Uw2 R2 Rw' L' F2 D' Fw2 R2 Uw2 L' B' L Rw2 R' D;2026-01-11 21:06:45;1:32.62
302;1:27.57;;Fw2 Uw2 D' U' R2 U' B F D L' F2 Rw' Uw F Fw' U L2 Uw2 R L2 Rw2 Uw L' Fw' L B2 L' U F' Rw' U' B' L B Fw' U D' Fw2 Uw B;2026-01-11 21:09:00;1:27.57
303;1:26.17;;U' Fw' R' U2 R Fw F2 L2 D2 F2 D' R Fw' L2 Uw' Rw' Uw2 Rw' D R F2 R' U Fw Uw B2 Rw' D Uw' U Fw B' Uw2 B2 D R Rw Fw' B Rw;2026-01-11 21:11:19;1:26.17
304;1:15.62;;Uw' U2 L F' U2 R' Uw' D B' Fw2 L Uw2 F' Rw L' Uw U2 B Uw2 Fw2 F' Uw2 D2 F' B' U Uw2 Fw' F2 D' L2 R D2 Fw F R B2 L U R;2026-01-11 21:13:44;1:15.62
305;1:32.69;;B2 Uw F Uw' L B F' Uw2 U' R' F2 L' Uw U' R L2 B2 Rw2 Uw2 R' D Uw Rw' B Rw2 D2 Uw2 F' U Fw' D' F' B D2 R Uw Fw L F B;2026-01-11 21:16:21;1:32.69
306;1:20.28;;Rw' D' F B2 D B' R B' D' F' B' U2 Uw2 D F R F R Uw U2 L2 F Rw2 Uw' F' L' Fw F2 L2 R B' Fw U2 Uw' B' Uw U D' Fw2 Uw;2026-01-12 19:14:16;1:20.28
